ID	Etudes	Derniere_Annee_Etude	Sexe	Annee_Naissance	Taille_en_cm	Pointure	Longueur_cheveux_en_cm	Couleur_yeux	Couleur_cheveux	Longueur_Index	Longueur_Majeur	Longueur_Annulaire	Ecartement_Orbital	Type_Pied	Nb_Heures_JeuxVideos_Mensuelles	Animal_compagnie_prefere	Nb_Animaux_compagnie	Note_Maths_S5	Niveau_Pilosite	Nb_Heures_Sport_Mensuelles	Système_Exploitation_Mobile	Taille_Fratrie	Nb_RepasPizza_Mensuel	Chocolatine_ou_pain_au_chocolat	Lateralisation	Region_CodeINSEE
475	PRI	2023	F	2001	163	38	NA	Noir	Noir	6	7	6	7	Egyptien	0	Chien	2	NA	Faible	0	IOS	1	1	PC	D	84
476	TIS	2023	F	2000	159	36	27	Bleu	Chatain	8	8.5	8	6	Carre	80	Chat	0	NA	Faible	0	IOS	2	3	PC	D	84
477	TIS	2024	F	1999	159	38	32	Vert	Chatain	7	7.5	7	5.5	Egyptien	1	Chat	2	NA	Faible	38	Android	3	3	PC	D	NA
478	TIS	2023	F	1999	173	42	21	Noir	Noir	9	11	10	7	Egyptien	0	Aucun	1	NA	Faible	0	Android	4	1	PC	D	32
479	TIS	2023	F	2000	169	39	20	Marron	Chatain	8	9	8	5.8	Egyptien	0	Chat	3	NA	Faible	6	Android	3	1	PC	D	50
480	TIS	2023	F	2000	170	39	65	Marron	Noir	9	10	9	6	Grec	0	Chat	0	NA	Moyenne	0	Android	5	1	PC	D	78
481	TIS	2023	H	2000	175	44	6	Marron	Chatain	9.5	10.5	9.7	6.5	Grec	6	Chien	0	NA	Moyenne	16	Android	6	1	PC	D	NA
482	TIS	2023	F	1999	176	41	40	Vert	Chatain	8.5	10	9	6	Egyptien	3	Chien	1	NA	Moyenne	0	Android	3	1	PC	D	28
483	TIS	2023	H	1998	180	42	20	Noir	Noir	7.5	8.5	7.5	NA	Egyptien	60	Aucun	3	NA	Faible	10	Android	2	1	C	D	93
484	PRI	2023	H	2000	180	42	5	Bleu	Noir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
485	PRI	2023	F	2000	170	39	55	Bleu	Noir	8	9	8	5.5	Egyptien	0	Autre	2	NA	Faible	4	Android	9	1	PC	D	76
486	TIS	2023	F	2000	167	40	20	Noir	Noir	9	9.5	6.5	5	Egyptien	0	Chien	0	NA	Faible	8	Android	4	1	PC	D	973
487	TIS	2023	F	1997	176	40	NA	Marron	Noir	8	9	7.5	NA	Grec	0	Chien	2	NA	Faible	4	IOS	4	2	PC	D	69
488	PRI	2023	NA	1998	175	38	10	Marron	Noir	9.5	11	10.5	5	Egyptien	0	Aucun	0	NA	Faible	0	IOS	4	0	C	D	NA
489	PRI	2023	H	2000	181	43.5	5	Marron	Chatain	11	12	11.5	6	Grec	4	Aucun	0	NA	Faible	40	Android	1	1	PC	D	13
490	PRI	2023	F	1999	173	39	30	Bleu	Chatain	9	10	9	NA	Egyptien	0	Chat	3	NA	Faible	0	Android	3	1	PC	D	84
491	PRI	2023	F	2000	173	40	20	Marron	Chatain	7.5	8	7	6	Egyptien	0	Aucun	0	NA	Moyenne	0	Android	2	1	C	D	75
492	PRI	2023	H	2001	171	43	1	Bleu	Roux	7.5	9	8	5.5	Egyptien	100	Chien	1	NA	Forte	30	IOS	3	1	NA	D	62
493	PRI	2023	H	2001	185	44	15	Vert	Chatain	11	12	11.5	6	Grec	0	Aucun	4	NA	Moyenne	10	Android	2	1	PC	D	84
494	PRI	2023	H	2000	180	41.5	4	Vert	Chatain	8.5	9.5	8.5	6.5	Grec	210	Aucun	0	NA	Faible	12	IOS	2	2	PC	D	11
495	TIS	2023	F	1999	162	36	35	Marron	Noir	7.5	8	6.5	6.5	Egyptien	30	Chien	0	NA	Faible	4	Android	3	1	PC	D	44
496	TIS	2023	F	1999	173	41	45	Bleu	Chatain	9	10	9	7	Egyptien	0	Chien	0	NA	Moyenne	32	IOS	5	1	PC	D	75
497	TIS	2023	F	2000	163	40	60	Vert	Chatain	7.6	8.5	8	6	Egyptien	40	Chien	11	NA	Faible	4	IOS	2	3	PC	D	84
498	TIS	2023	F	2001	172	39	NA	Bleu	Chatain	NA	NA	NA	NA	Egyptien	10	Aucun	0	NA	Moyenne	0	IOS	3	4	PC	D	95
499	TIS	2023	F	2000	175	41	60	Marron	Chatain	7.5	8.8	7.6	6	Egyptien	5	Chien	0	NA	Faible	70	Android	2	2	C	D	86
500	TIS	2023	F	2000	168	38	50	Marron	Chatain	9	9.5	8.5	7	Egyptien	4	Chien	2	NA	Moyenne	8	Android	2	2	PC	D	84
501	TIS	2023	H	1999	185	47	4	Vert	Chatain	10	11	10.5	7.5	Grec	0	Chien	0	NA	Moyenne	20	Android	3	3	PC	D	32
502	TIS	2024	F	2000	160	37	90	Marron	Chatain	7.7	8	7.2	5.6	Egyptien	0	Aucun	0	NA	Faible	0	IOS	2	3	PC	D	84
503	TIS	2023	H	2000	195	46	5	Vert	Chatain	10	11	10	7	Grec	150	Chat	1	NA	Faible	10	Android	1	3	C	D	76
504	PRI	2023	F	1999	159	36	40	Marron	Chatain	7.1	7.4	6.8	NA	Egyptien	90	Chat	2	NA	Moyenne	5	Android	3	1	PC	NA	NA
505	PRI	2023	F	1998	168	36	32	Vert	Chatain	7	7.5	6.9	6.5	Grec	0	Autre	6	NA	Moyenne	14	IOS	3	0	PC	G	38
506	TIS	2023	F	2001	168	38	63	Vert	Chatain	7.8	9	7.6	6.5	Egyptien	0	Chien	1	18.75	Moyenne	5	Android	2	2	PC	D	27
507	TIS	2023	F	1999	172	40	40	Marron	Chatain	7.5	8.2	7.4	6.2	Egyptien	0	Chien	0	NA	Moyenne	0	IOS	2	3	PC	D	84
508	TIS	2023	H	1999	188	46	10	Marron	Chatain	9	10	9	7	Egyptien	10	Chien	3	NA	Moyenne	6	IOS	4	4	PC	D	NA
509	TIS	2023	F	1999	162	38	45	Vert	Chatain	7	7.5	6.5	NA	Egyptien	0	Autre	0	NA	Faible	0	IOS	6	1	PC	D	84
510	PRI	2023	F	1999	170	40	35	Bleu	Chatain	8.5	9.9	9	5.8	Egyptien	3	Chat	4	NA	Moyenne	5	IOS	2	3	PC	D	84
511	PRI	2023	H	2000	180	42	7	Vert	Chatain	7.8	9	8	5	Egyptien	80	Chat	2	14.5	Moyenne	25	Android	3	1	PC	D	38
